# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 8.470000e+01
# lRef        : 1.000000e-01
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.281811e-02	1.856362e-02	3.481977e-19	9.281811e-02	-9.281811e-02
0.000738661   	6.419049e+00	1.283810e+00	1.365904e+00	7.102001e+00	-5.736097e+00
0.00104325    	-6.409297e+02	-1.281859e+02	6.481253e+00	-6.376890e+02	6.441703e+02
0.00129598    	-2.977973e+02	-5.955945e+01	-1.270458e+02	-3.613202e+02	2.342744e+02
0.00153894    	4.787385e+02	9.574769e+01	-3.799435e+02	2.887667e+02	-6.687102e+02
0.00177031    	-5.769262e+02	-1.153852e+02	-5.654689e+01	-6.051997e+02	5.486528e+02
0.00202683    	3.447962e+02	6.895925e+01	-5.288299e+02	8.038128e+01	-6.092112e+02
0.00226077    	2.183346e+02	4.366693e+01	3.045406e+02	3.706049e+02	-6.606435e+01
0.00256733    	1.723246e+02	3.446493e+01	6.616116e+01	2.054052e+02	-1.392441e+02
0.00283566    	-1.771344e+03	-3.542688e+02	-4.615234e+02	-2.002106e+03	1.540582e+03
0.00305723    	-8.492739e+02	-1.698548e+02	-1.869192e+02	-9.427335e+02	7.558143e+02
0.00332073    	-1.327026e+03	-2.654053e+02	1.499470e+02	-1.252053e+03	1.402000e+03
0.00355477    	2.366190e+01	4.732379e+00	-5.193877e+00	2.106496e+01	-2.625883e+01
0.00385269    	-1.457768e+02	-2.915535e+01	1.788318e+02	-5.636084e+01	2.351927e+02
0.00410654    	-1.965007e+03	-3.930014e+02	4.195017e+01	-1.944032e+03	1.985982e+03
0.00434669    	7.022843e+00	1.404569e+00	5.372529e+00	9.709108e+00	-4.336579e+00
0.00464139    	-6.512778e+02	-1.302556e+02	-3.301348e+02	-8.163452e+02	4.862104e+02
0.00488371    	-1.781347e+02	-3.562694e+01	3.541486e+02	-1.060393e+00	3.552090e+02
0.00512706    	-4.109609e+01	-8.219217e+00	9.062559e+01	4.216706e+00	8.640888e+01
0.0053684     	-5.313675e+02	-1.062735e+02	-8.260825e+02	-9.444088e+02	1.183263e+02
0.00553614    	-8.828464e+01	-1.765693e+01	3.927596e+01	-6.864666e+01	1.079226e+02
0.00568413    	2.369918e+01	4.739835e+00	1.144633e+01	2.942234e+01	-1.797601e+01
0.00590477    	7.706314e+01	1.541263e+01	-9.455829e+00	7.233522e+01	-8.179105e+01
0.00612608    	6.702040e+01	1.340408e+01	-9.968539e+00	6.203613e+01	-7.200467e+01
0.00636617    	4.309797e+01	8.619593e+00	-6.579013e+00	3.980846e+01	-4.638747e+01
0.00667423    	2.280953e+01	4.561906e+00	-3.035374e+00	2.129184e+01	-2.432722e+01
0.00698057    	7.668939e+01	1.533788e+01	-4.468494e+01	5.434692e+01	-9.903186e+01
0.00725894    	-1.969217e+00	-3.938434e-01	5.247103e+00	6.543346e-01	4.592768e+00
0.00753956    	-9.987426e+01	-1.997485e+01	1.129203e+02	-4.341411e+01	1.563344e+02
0.00779296    	-1.562761e+02	-3.125523e+01	-1.090166e+02	-2.107844e+02	1.017679e+02
0.00804186    	2.980419e+01	5.960838e+00	3.087984e+00	3.134818e+01	-2.826020e+01
0.00833965    	3.787257e+02	7.574514e+01	-7.020890e+01	3.436212e+02	-4.138301e+02
0.00860921    	3.844803e+02	7.689606e+01	-1.249860e+02	3.219873e+02	-4.469733e+02
0.00888961    	-1.014628e+03	-2.029256e+02	1.608235e+02	-9.342160e+02	1.095040e+03
