# y+ ()       
# Time        	patch         	min           	max           	average       
0             	pipe	2.328005e+01	2.328005e+01	2.328005e+01
0.1           	pipe	5.098540e+01	1.461445e+02	1.023338e+02
0.2           	pipe	5.930074e+01	3.925301e+02	1.908147e+02
0.3           	pipe	7.157241e+01	2.875441e+02	1.823639e+02
0.4           	pipe	1.399858e+02	2.826819e+02	1.923467e+02
0.5           	pipe	1.095432e+02	4.139016e+02	2.308556e+02
0.6           	pipe	4.881119e+01	2.371752e+02	1.241847e+02
0.7           	pipe	1.092098e+02	3.871990e+02	2.148894e+02
0.8           	pipe	7.125083e+01	4.431929e+02	1.824332e+02
0.9           	pipe	8.963902e+01	4.201394e+02	2.056938e+02
1             	pipe	4.912306e+01	5.395817e+02	1.937803e+02
1.1           	pipe	7.375651e+01	2.827982e+02	1.761790e+02
1.2           	pipe	5.390394e+01	1.732041e+02	1.367073e+02
1.3           	pipe	9.703074e+01	4.099092e+02	2.263095e+02
1.4           	pipe	7.438663e+01	2.731760e+02	1.276915e+02
1.5           	pipe	7.308800e+01	3.249276e+02	1.784921e+02
1.6           	pipe	1.097442e+02	4.758158e+02	2.235706e+02
1.7           	pipe	9.018990e+01	2.939173e+02	1.746689e+02
1.8           	pipe	7.923504e+01	3.178485e+02	1.890750e+02
1.9           	pipe	8.565305e+01	1.823647e+02	1.332327e+02
2             	pipe	9.181029e+01	2.740410e+02	1.618304e+02
2.1           	pipe	5.961395e+01	3.280098e+02	1.932669e+02
2.2           	pipe	4.604691e+01	1.073503e+02	8.934706e+01
2.3           	pipe	6.392779e+01	1.616188e+02	1.251889e+02
2.4           	pipe	6.550912e+01	2.947851e+02	1.526093e+02
2.5           	pipe	6.387220e+01	2.666839e+02	1.736079e+02
2.6           	pipe	4.897474e+01	2.966924e+02	1.463314e+02
2.7           	pipe	7.299547e+01	3.217007e+02	1.776494e+02
2.8           	pipe	4.503285e+01	2.659230e+02	1.043363e+02
2.9           	pipe	9.344855e+01	2.110742e+02	1.471393e+02
3             	pipe	9.587699e+01	1.920439e+02	1.494588e+02
3.1           	pipe	5.089053e+01	2.402500e+02	1.007272e+02
