# y+ ()       
# Time        	patch         	min           	max           	average       
0             	pipe	3.993911e+01	3.993912e+01	3.993911e+01
0.0005        	pipe	2.324299e+01	2.327721e+01	2.324936e+01
0.001         	pipe	2.081074e+01	7.213530e+01	4.029374e+01
0.0015        	pipe	1.992783e+01	5.821188e+01	3.623548e+01
0.002         	pipe	1.948859e+01	4.611192e+01	3.150522e+01
0.0025        	pipe	1.916498e+01	3.800012e+01	2.829420e+01
0.003         	pipe	2.255954e+01	4.933555e+01	3.321387e+01
0.0035        	pipe	2.781360e+01	1.050536e+02	6.692359e+01
0.004         	pipe	2.713820e+01	1.442024e+02	9.254945e+01
0.0045        	pipe	2.694603e+01	1.360202e+02	9.405171e+01
0.005         	pipe	2.846767e+01	1.274439e+02	9.055250e+01
0.0055        	pipe	3.302701e+01	1.234875e+02	8.793414e+01
0.006         	pipe	3.780550e+01	1.195304e+02	8.479310e+01
0.0065        	pipe	3.952104e+01	1.187416e+02	8.474913e+01
0.007         	pipe	3.865592e+01	1.231244e+02	8.589358e+01
0.0075        	pipe	3.642610e+01	1.258047e+02	8.618995e+01
0.008         	pipe	3.409358e+01	1.220336e+02	8.599590e+01
0.0085        	pipe	3.239521e+01	1.204845e+02	8.461738e+01
0.009         	pipe	3.187445e+01	1.151377e+02	8.163472e+01
0.0095        	pipe	3.108954e+01	1.149291e+02	7.975282e+01
0.01          	pipe	3.000552e+01	1.131627e+02	7.883214e+01
0.0105        	pipe	2.852680e+01	1.125452e+02	7.813427e+01
0.011         	pipe	2.738162e+01	1.113804e+02	7.672514e+01
0.0115        	pipe	2.715132e+01	1.004187e+02	7.361161e+01
0.012         	pipe	2.711252e+01	9.411704e+01	7.243560e+01
0.0125        	pipe	2.709102e+01	9.461013e+01	7.256373e+01
0.013         	pipe	2.630940e+01	9.500584e+01	7.146734e+01
0.0135        	pipe	2.447625e+01	9.380029e+01	6.961360e+01
0.014         	pipe	2.272948e+01	9.129385e+01	6.742870e+01
0.0145        	pipe	1.991803e+01	8.803643e+01	6.489574e+01
0.015         	pipe	1.661452e+01	8.804457e+01	6.714779e+01
0.0155        	pipe	1.584782e+01	9.860567e+01	7.621239e+01
0.016         	pipe	1.535852e+01	1.090549e+02	8.536867e+01
0.0165        	pipe	1.565168e+01	1.180674e+02	9.276351e+01
0.017         	pipe	1.847121e+01	1.265781e+02	9.808258e+01
0.0175        	pipe	2.295658e+01	1.324396e+02	1.011390e+02
0.018         	pipe	5.271945e+01	1.358185e+02	1.035949e+02
0.0185        	pipe	4.485384e+01	1.372430e+02	1.036423e+02
0.019         	pipe	3.072914e+01	1.371427e+02	1.025052e+02
0.0195        	pipe	1.780319e+01	1.365712e+02	1.018086e+02
0.02          	pipe	1.313980e+01	1.342110e+02	1.008805e+02
0.0205        	pipe	1.239960e+01	1.212466e+02	9.317242e+01
0.021         	pipe	1.612950e+01	1.067000e+02	8.303653e+01
0.0215        	pipe	4.196444e+01	9.739334e+01	7.616308e+01
0.022         	pipe	4.565024e+01	9.219169e+01	7.359395e+01
0.0225        	pipe	4.498235e+01	8.815616e+01	7.085709e+01
0.023         	pipe	4.436208e+01	8.460923e+01	6.840293e+01
0.0235        	pipe	4.399092e+01	8.137248e+01	6.621081e+01
0.024         	pipe	4.420702e+01	7.868913e+01	6.453876e+01
0.0245        	pipe	4.440479e+01	7.523105e+01	6.242230e+01
0.025         	pipe	4.375152e+01	7.131639e+01	5.983180e+01
0.0255        	pipe	4.351886e+01	6.729699e+01	5.753246e+01
0.026         	pipe	4.369684e+01	6.287313e+01	5.524202e+01
0.0265        	pipe	4.341744e+01	6.096029e+01	5.301201e+01
0.027         	pipe	4.268693e+01	6.129875e+01	5.115885e+01
0.0275        	pipe	4.211355e+01	6.165452e+01	4.988924e+01
0.028         	pipe	4.188832e+01	6.228773e+01	4.920448e+01
0.0285        	pipe	4.251598e+01	6.381694e+01	4.947677e+01
0.029         	pipe	4.356331e+01	6.528587e+01	5.024389e+01
0.0295        	pipe	4.195423e+01	6.689704e+01	5.097381e+01
0.03          	pipe	4.023203e+01	6.917559e+01	5.229811e+01
0.0305        	pipe	3.861792e+01	7.223469e+01	5.433875e+01
0.031         	pipe	3.706856e+01	7.668324e+01	5.724879e+01
0.0315        	pipe	3.647219e+01	8.592823e+01	6.336355e+01
0.032         	pipe	3.659577e+01	1.001486e+02	7.324869e+01
0.0325        	pipe	3.693945e+01	1.114771e+02	8.226682e+01
0.033         	pipe	3.662758e+01	1.179603e+02	8.731772e+01
0.0335        	pipe	3.543622e+01	1.213511e+02	9.014278e+01
0.034         	pipe	3.434271e+01	1.239286e+02	9.229269e+01
0.0345        	pipe	3.411595e+01	1.253301e+02	9.400479e+01
0.035         	pipe	3.454806e+01	1.249063e+02	9.413999e+01
0.0355        	pipe	3.693743e+01	1.230491e+02	9.255838e+01
0.036         	pipe	4.084895e+01	1.208265e+02	9.087227e+01
0.0365        	pipe	4.501745e+01	1.180473e+02	8.888299e+01
0.037         	pipe	5.016595e+01	1.160100e+02	8.750378e+01
0.0375        	pipe	5.763392e+01	1.145999e+02	8.707881e+01
0.038         	pipe	6.521639e+01	1.093457e+02	8.449130e+01
0.0385        	pipe	6.577240e+01	1.014897e+02	8.090093e+01
0.039         	pipe	6.374828e+01	9.524204e+01	7.764396e+01
0.0395        	pipe	6.117337e+01	9.021773e+01	7.471972e+01
0.04          	pipe	5.896985e+01	8.636568e+01	7.233985e+01
0.0405        	pipe	5.717653e+01	8.311202e+01	7.016510e+01
0.041         	pipe	5.507199e+01	8.031347e+01	6.815281e+01
0.0415        	pipe	5.400170e+01	7.870751e+01	6.686913e+01
0.042         	pipe	5.308929e+01	8.477549e+01	6.677474e+01
0.0425        	pipe	5.174692e+01	8.861375e+01	6.650463e+01
0.043         	pipe	5.052584e+01	9.081676e+01	6.603825e+01
0.0435        	pipe	4.939654e+01	9.230786e+01	6.552984e+01
0.044         	pipe	4.833608e+01	8.907423e+01	6.384175e+01
0.0445        	pipe	4.669057e+01	6.547136e+01	5.707907e+01
0.045         	pipe	4.566410e+01	6.077246e+01	5.447116e+01
0.0455        	pipe	4.435630e+01	5.722069e+01	5.234819e+01
0.046         	pipe	4.472241e+01	1.061854e+02	5.549950e+01
0.0465        	pipe	4.458432e+01	1.075733e+02	5.636012e+01
0.047         	pipe	4.465120e+01	7.941159e+01	5.211357e+01
0.0475        	pipe	4.305881e+01	6.655905e+01	4.952217e+01
